NB500986:30:HCJNHBGXY:1:11101:18951:1098	Homo_sapiens_tRNA-Gly-CCC-chr1-102	100.00	12	0	0	1	12	27	16	0.025	24.3
NB500986:30:HCJNHBGXY:1:11101:18951:1098	Homo_sapiens_tRNA-Gly-CCC-8-1	100.00	12	0	0	1	12	26	15	0.025	24.3
NB500986:30:HCJNHBGXY:1:11101:16406:1099	Homo_sapiens_tRNA-Gly-CCC-chr1-102	100.00	12	0	0	1	12	27	16	0.025	24.3
NB500986:30:HCJNHBGXY:1:11101:16406:1099	Homo_sapiens_tRNA-Gly-CCC-8-1	100.00	12	0	0	1	12	26	15	0.025	24.3
NB500986:30:HCJNHBGXY:1:11101:6157:1141	Homo_sapiens_tRNA-Gly-CCC-chr1-102	100.00	12	0	0	1	12	27	16	0.025	24.3
NB500986:30:HCJNHBGXY:1:11101:6157:1141	Homo_sapiens_tRNA-Gly-CCC-8-1	100.00	12	0	0	1	12	26	15	0.025	24.3
NB500986:30:HCJNHBGXY:1:11101:7533:1145	Homo_sapiens_tRNA-Gly-CCC-chr1-102	100.00	12	0	0	1	12	27	16	0.025	24.3
NB500986:30:HCJNHBGXY:1:11101:7533:1145	Homo_sapiens_tRNA-Gly-CCC-8-1	100.00	12	0	0	1	12	26	15	0.025	24.3
NB500986:30:HCJNHBGXY:1:11101:11379:1151	Homo_sapiens_tRNA-Gly-CCC-chr1-102	100.00	12	0	0	1	12	27	16	0.025	24.3
NB500986:30:HCJNHBGXY:1:11101:11379:1151	Homo_sapiens_tRNA-Gly-CCC-8-1	100.00	12	0	0	1	12	26	15	0.025	24.3
NB500986:30:HCJNHBGXY:1:11101:18735:1152	Homo_sapiens_tRNA-Gly-CCC-chr1-102	100.00	12	0	0	1	12	27	16	0.025	24.3
NB500986:30:HCJNHBGXY:1:11101:18735:1152	Homo_sapiens_tRNA-Gly-CCC-8-1	100.00	12	0	0	1	12	26	15	0.025	24.3
NB500986:30:HCJNHBGXY:1:11101:21195:1164	Homo_sapiens_tRNA-Gly-CCC-chr1-102	100.00	11	0	0	1	11	27	17	0.10	22.3
NB500986:30:HCJNHBGXY:1:11101:21195:1164	Homo_sapiens_tRNA-Gly-CCC-8-1	100.00	11	0	0	1	11	26	16	0.10	22.3
NB500986:30:HCJNHBGXY:1:11101:17136:1165	Homo_sapiens_tRNA-Gly-CCC-chr1-102	100.00	12	0	0	1	12	27	16	0.023	24.3
NB500986:30:HCJNHBGXY:1:11101:17136:1165	Homo_sapiens_tRNA-Gly-CCC-8-1	100.00	12	0	0	1	12	26	15	0.023	24.3
NB500986:30:HCJNHBGXY:1:11101:8100:1176	Homo_sapiens_tRNA-Gly-CCC-chr1-102	100.00	12	0	0	1	12	27	16	0.025	24.3
NB500986:30:HCJNHBGXY:1:11101:8100:1176	Homo_sapiens_tRNA-Gly-CCC-8-1	100.00	12	0	0	1	12	26	15	0.025	24.3
NB500986:30:HCJNHBGXY:1:11101:21423:1176	Homo_sapiens_tRNA-Gly-CCC-chr1-102	100.00	12	0	0	1	12	27	16	0.025	24.3
